id,abbr,state,population,Population_60_plus,heartattack,skin_cancer,Binge Drinker,smokers
1,AL,Alabama,4849377,21.4,5.9,8.2,12,21.1
2,AK,Alaska,736732,15.1,3.3,3.2,20.2,19.9
3,AZ,Arizona,6731484,21.7,4.4,8.3,14.9,16.5
4,AR,Arkansas,2966369,21.8,6.7,6.6,13.3,24.7
5,CA,California,38802500,18.2,3.5,4.8,15.6,12.9
6,CO,Colorado,5355866,18.7,3.1,6.3,17.5,15.7
7,CT,Connecticut,3596677,21.6,3.7,5.8,15.9,15.4
8,DE,Delaware,935614,22.4,5,6.7,15.7,19.9
9,DC,District of Columbia,658893,16.3,2.6,2.9,24.9,16.4
10,FL,Florida,19893297,25.3,5.3,8.9,15,17.7
11,GA,Georgia,10097343,17.9,4.5,6.4,14.2,17.4
12,HI,Hawaii,1419561,22.2,3.1,4.5,19.7,14.1
13,ID,Idaho,1634464,20.4,3.7,7.1,14.8,15.9
14,IL,Illinois,12880580,19.7,3.7,4.2,20.2,16.5
15,IN,Indiana,6596855,20.3,5,5.6,14.8,22.9
16,IA,Iowa,3107126,22,4.4,5.9,21.4,18.5
17,KS,Kansas,2904021,20.2,4.2,6.2,15.8,18.1
18,KY,Kentucky,4413457,20.9,6.8,7.7,12.7,26.2
19,LA,Louisiana,4649676,19.5,5.2,5,16,24
20,ME,Maine,1330089,25.7,5.5,6.9,17,19.3
21,MD,Maryland,5976407,19.6,3.2,4.9,15.4,14.6
22,MA,Massachusetts,6745408,21.2,4.1,6.3,17.4,14.7
23,MI,Michigan,9909877,22,5.2,5.8,18.9,21.2
24,MN,Minnesota,5457173,20.2,3.8,5.1,19.5,16.3
25,MS,Mississippi,2994079,20.1,4.9,5.7,12.8,23
26,MO,Missouri,6063589,21.5,5.4,6,15.1,20.6
27,MT,Montana,1023579,23.5,4.2,6.8,18.9,19.9
28,NE,Nebraska,1881503,20.1,3.8,5.7,20.3,17.3
29,NV,Nevada,2839099,19.9,4.8,6.3,16,17
30,NH,New Hampshire,1326813,22.8,3.8,6.3,16.8,17.5
31,NJ,New Jersey,8938175,20.6,4.2,4.8,15.8,15.1
32,NM,New Mexico,2085572,21.6,4.2,5.2,13.7,19.2
33,NY,New York,19746227,20.6,3.8,4.1,15,14.4
34,NC,North Carolina,9943964,20.5,5.1,6.6,13.6,19.1
35,ND,North Dakota,739482,20,4.6,4.4,24,19.9
36,OH,Ohio,11594163,21.8,5.4,6,18.1,21
37,OK,Oklahoma,3878051,20.1,5.5,5.9,12.9,21.1
38,OR,Oregon,3970239,22.9,4.6,7.4,16.6,17
39,PA,Pennsylvania,12787209,23.2,4.8,6.1,16.7,19.9
40,RI,Rhode Island,1055173,22.1,4.3,6.3,18.4,16.3
41,SC,South Carolina,4832482,22.2,4.6,7.2,14.1,21.5
42,SD,South Dakota,853175,21.2,5.1,6.1,17.4,18.6
43,TN,Tennessee,6549352,21.2,5.7,6.8,10.6,24.2
44,TX,Texas,26956958,16.5,3.7,4.6,16.3,14.5
45,UT,Utah,2942902,14.6,2.9,6.6,11.4,9.7
46,VT,Vermont,626562,24.1,3.8,6.4,17.9,16.4
47,VA,Virginia,8326289,19.7,4.2,5.5,15.2,19.5
48,WA,Washington,7061530,20.1,3.8,5.8,17.1,15.3
49,WV,West Virginia,1850326,24.9,7.4,7.6,9.6,26.7
50,WI,Wisconsin,5757564,21.6,3.7,5.5,22.1,17.4
51,WY,Wyoming,584153,20.7,4.6,7.5,17.2,19.5
52,PR,Puerto Rico,3548397,23.5,5.3,1.3,13.2,11.3
